Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Angel Pagan,- - -,1124,4465,64,584,414,176,0.071,0.143,0.128,0.316,0.28,0.33,0.408,0.322,102,39.2,51.3,-8.3,18.9,2918
Jose Altuve,Astros,829,3649,60,449,322,199,0.056,0.104,0.126,0.334,0.311,0.354,0.437,0.342,118,2.1,78,-19,18.7,5417
Bret Boone,- - -,835,3613,146,485,559,55,0.082,0.175,0.198,0.3,0.277,0.34,0.474,0.348,115,-3.6,65,2.5,18.7,1067
Adam Kennedy,- - -,1658,5945,79,670,555,179,0.067,0.140,0.111,0.307,0.272,0.328,0.383,0.312,88,10.4,-79.5,66.3,18.7,19
Marco Scutaro,- - -,1391,5486,77,683,509,55,0.086,0.104,0.111,0.298,0.277,0.341,0.388,0.323,96,2.6,-22.8,22.6,18.6,1555
Erick Aybar,- - -,1346,5257,51,606,451,144,0.049,0.117,0.1,0.302,0.273,0.314,0.373,0.302,89,19.1,-48.4,50.8,18.6,4082
Colby Rasmus,- - -,1037,3941,156,514,467,34,0.089,0.264,0.193,0.294,0.241,0.311,0.434,0.323,102,25.5,34.4,14.9,18.6,9893
Yoenis Cespedes,- - -,707,2978,137,406,453,40,0.067,0.207,0.221,0.303,0.272,0.325,0.494,0.349,123,9.5,90.9,-12.8,18.5,13110
Chris Young,- - -,1319,4912,178,621,552,137,0.098,0.224,0.195,0.275,0.237,0.316,0.432,0.326,96,30.6,8.1,13.5,18.5,3882
Kelly Johnson,- - -,1399,5139,155,632,550,87,0.100,0.223,0.171,0.302,0.251,0.33,0.422,0.33,102,10.2,21.8,-6.8,18.4,2234
Todd Frazier,- - -,791,3190,148,394,422,58,0.079,0.218,0.213,0.278,0.25,0.317,0.464,0.337,111,7.9,50.3,21.6,18.2,785
Frank Thomas,- - -,951,3983,220,526,664,4,0.148,0.165,0.255,0.277,0.273,0.387,0.528,0.391,136,-35.7,150.7,-98.9,18.2,255
Josh Willingham,- - -,1147,4616,195,564,632,35,0.120,0.224,0.212,0.292,0.253,0.358,0.465,0.359,122,-0.2,121.5,-94.5,18.1,2103
Austin Jackson,- - -,914,3960,55,546,314,108,0.080,0.233,0.125,0.35,0.272,0.332,0.396,0.321,101,17.9,21,19.2,18,9848
Pablo Sandoval,- - -,998,4045,116,441,509,11,0.070,0.134,0.164,0.307,0.287,0.339,0.451,0.34,116,-29.6,46.2,0.1,17.9,5409
Matt Wieters,Orioles,882,3468,117,355,437,7,0.082,0.188,0.165,0.286,0.256,0.318,0.421,0.321,97,-23.1,-34.6,89.6,17.9,4298
Marcus Giles,- - -,792,3340,76,468,333,70,0.095,0.157,0.152,0.313,0.277,0.353,0.429,0.343,107,16.3,44.5,26.4,17.9,89
Brandon Crawford,Giants,809,2994,59,304,346,21,0.085,0.195,0.141,0.298,0.252,0.319,0.393,0.307,97,3.4,-6.5,82.4,17.7,5343
Richard Hidalgo,- - -,786,3179,147,443,463,36,0.088,0.192,0.23,0.294,0.271,0.346,0.501,0.36,113,-11.7,43.6,33.5,17.6,561
Jay Bruce,- - -,1270,5189,241,669,737,61,0.091,0.239,0.219,0.284,0.248,0.318,0.467,0.335,107,5.5,51,-43,17.6,9892
Chris Davis,- - -,1040,4177,241,573,633,16,0.098,0.313,0.249,0.314,0.25,0.33,0.499,0.354,120,5.2,102.1,-76.5,17.5,9272
Starling Marte,Pirates,599,2455,58,329,235,160,0.047,0.222,0.158,0.359,0.289,0.345,0.447,0.345,120,21.7,79.3,9.2,17.4,9241
Ryan Klesko,- - -,944,3744,139,500,537,65,0.138,0.148,0.204,0.294,0.277,0.377,0.481,0.369,128,8.5,143.1,-88.1,17.4,1041
Dexter Fowler,- - -,1064,4381,78,623,339,127,0.126,0.222,0.153,0.342,0.268,0.366,0.422,0.348,110,27.6,77.3,-49.4,17.3,4062
Austin Kearns,- - -,1125,4179,121,522,494,33,0.114,0.215,0.16,0.304,0.253,0.351,0.413,0.338,104,2.9,23.1,12.8,17.1,332
Aubrey Huff,- - -,1681,6786,242,806,904,37,0.084,0.134,0.186,0.29,0.278,0.342,0.464,0.345,111,-6.5,83.4,-139.4,17.1,1213
Rickie Weeks Jr.,- - -,1287,5000,159,720,466,131,0.104,0.236,0.175,0.302,0.247,0.344,0.422,0.339,107,21.2,62.5,-53.7,17,1849
Shannon Stewart,- - -,1034,4663,92,632,433,95,0.076,0.105,0.137,0.319,0.299,0.357,0.436,0.347,108,1.7,51.2,-37.8,17,1322
Mike Sweeney,- - -,1074,4434,174,572,717,41,0.092,0.107,0.197,0.302,0.3,0.37,0.497,0.37,121,-1.5,114.1,-95,16.8,634
Alexei Ramirez,- - -,1371,5505,115,601,590,143,0.048,0.118,0.122,0.288,0.27,0.307,0.392,0.306,87,5.7,-80.4,57.5,16.8,5133
Javy Lopez,- - -,847,3312,141,391,486,1,0.063,0.168,0.198,0.306,0.285,0.336,0.482,0.35,110,-14.8,26.8,34.6,16.8,103
David Eckstein,- - -,1311,5705,35,701,392,123,0.066,0.073,0.075,0.298,0.28,0.345,0.355,0.316,92,10.6,-49.7,28.6,16.8,10
Jason Bartlett,- - -,892,3521,31,435,286,123,0.078,0.149,0.096,0.313,0.27,0.336,0.366,0.314,93,25.8,-2.5,53.1,16.8,8219
Omar Vizquel,- - -,1504,6125,46,711,502,166,0.087,0.095,0.085,0.292,0.269,0.335,0.354,0.308,82,6,-130.1,94.7,16.7,411
Mark Grudzielanek,- - -,1136,4751,62,610,412,43,0.051,0.128,0.108,0.324,0.29,0.334,0.398,0.322,93,-0.4,-40.8,49,16.3,653
Franklin Gutierrez,- - -,919,3272,96,386,353,78,0.068,0.220,0.152,0.307,0.257,0.311,0.409,0.314,96,7.8,-10,60.2,16.3,3255
Jose Vidro,- - -,1128,4747,114,610,560,20,0.087,0.095,0.149,0.316,0.303,0.366,0.452,0.355,112,-9.8,66.7,-57.8,16.2,802
Brandon Inge,- - -,1532,5617,152,563,648,45,0.079,0.233,0.152,0.281,0.233,0.301,0.384,0.301,81,-3.9,-134.9,105.9,16,470
Miguel Montero,- - -,1105,4117,120,434,534,4,0.102,0.202,0.157,0.302,0.259,0.342,0.416,0.33,101,-30,-27.8,52,15.9,3364
Paul Lo Duca,- - -,1040,4178,77,470,469,19,0.061,0.068,0.123,0.291,0.287,0.338,0.411,0.327,98,-36.5,-44.4,68.7,15.9,662
John Olerud,- - -,838,3356,83,387,468,3,0.136,0.113,0.152,0.3,0.285,0.384,0.437,0.358,120,-16.6,68.6,-22.6,15.9,1093
Mark Kotsay,- - -,1598,5895,108,656,598,78,0.083,0.108,0.129,0.296,0.277,0.337,0.406,0.325,98,-13.4,-28.6,-4,15.9,1042
Brandon Belt,Giants,712,2698,80,324,318,32,0.113,0.240,0.188,0.341,0.272,0.359,0.46,0.354,129,0.3,92.1,-24.7,15.9,10264
Michael Cuddyer,- - -,1536,6102,197,809,794,75,0.086,0.180,0.184,0.314,0.277,0.344,0.461,0.349,112,-4.7,84.2,-130.2,15.9,1534
Brian Dozier,Twins,699,3065,117,422,346,74,0.091,0.193,0.196,0.271,0.246,0.32,0.442,0.33,107,18.7,43.5,4.6,15.8,9810
Freddy Sanchez,- - -,904,3686,48,434,371,13,0.049,0.114,0.116,0.324,0.297,0.335,0.413,0.326,97,2.2,-10.2,48.7,15.7,1624
Mark Loretta,- - -,1209,4695,58,531,445,26,0.084,0.089,0.101,0.314,0.295,0.36,0.396,0.335,102,-18.8,-7.6,12.5,15.7,1383
Josh Reddick,- - -,786,2934,96,363,346,41,0.081,0.171,0.175,0.28,0.255,0.316,0.43,0.323,105,18.8,33.9,17.4,15.7,3892
Chris Iannetta,- - -,946,3413,107,355,402,11,0.138,0.233,0.169,0.276,0.229,0.346,0.397,0.33,101,-14.2,-12.2,50.6,15.6,8267
Richie Sexson,- - -,1179,4885,264,647,792,10,0.112,0.236,0.244,0.293,0.26,0.348,0.503,0.364,120,-18.3,107.1,-113.2,15.5,709
Nick Punto,- - -,1163,3734,19,421,263,104,0.103,0.174,0.077,0.298,0.245,0.323,0.323,0.292,77,23.9,-79.9,107.1,15.4,1429
Nolan Arenado,Rockies,561,2342,111,320,376,8,0.064,0.146,0.235,0.291,0.285,0.331,0.52,0.359,111,-5.1,26.9,46.5,15.4,9777
Ronnie Belliard,- - -,1352,5105,106,624,543,39,0.083,0.145,0.143,0.301,0.271,0.334,0.414,0.327,95,2.9,-33.1,18.5,15.2,677
Craig Counsell,- - -,1375,4702,37,560,323,98,0.107,0.122,0.089,0.287,0.255,0.342,0.343,0.309,81,1,-112.4,110.4,15,52
David Ross,- - -,883,2644,106,254,314,3,0.109,0.278,0.195,0.283,0.229,0.316,0.423,0.319,92,-6.2,-30.5,92.9,15,1551
Nick Johnson,- - -,832,3316,95,430,398,29,0.157,0.172,0.173,0.307,0.268,0.399,0.441,0.37,126,-14.8,95.4,-54.2,14.9,828
Kris Bryant,Cubs,306,1349,65,208,201,21,0.113,0.262,0.238,0.352,0.284,0.377,0.522,0.384,142,14.4,82.4,18.1,14.9,15429
Garret Anderson,- - -,1500,6142,215,729,972,46,0.047,0.137,0.181,0.304,0.289,0.32,0.47,0.334,102,-4,11.3,-69.2,14.8,2
Andrelton Simmons,- - -,623,2482,35,245,212,26,0.061,0.089,0.102,0.274,0.261,0.308,0.363,0.294,85,-5.9,-49.1,111.5,14.8,10847
Mookie Betts,Red Sox,355,1597,54,248,208,54,0.073,0.121,0.196,0.318,0.304,0.355,0.5,0.366,129,20.7,74.7,12.6,14.6,13611
Rafael Palmeiro,- - -,891,3782,208,506,608,11,0.138,0.117,0.249,0.253,0.27,0.373,0.519,0.377,125,-11.4,110.3,-91.3,14.5,1266
Kurt Suzuki,- - -,1208,4622,83,432,519,19,0.063,0.117,0.116,0.273,0.256,0.311,0.372,0.301,86,-14.4,-92.6,80.5,14.5,8259
Reggie Sanders,- - -,839,3201,154,446,480,110,0.082,0.228,0.232,0.295,0.26,0.327,0.492,0.348,109,12,46.9,-6.8,14.5,1129
Edgar Martinez,Mariners,668,2805,111,339,481,9,0.145,0.163,0.204,0.321,0.295,0.401,0.499,0.386,138,-16.8,120.5,-67.7,14.5,1086
Omar Infante,- - -,1507,5698,82,609,542,80,0.052,0.136,0.116,0.301,0.271,0.308,0.387,0.304,86,13.7,-83.7,36.4,14.4,1609
Edgardo Alfonzo,- - -,829,3390,84,414,405,22,0.102,0.090,0.142,0.286,0.28,0.357,0.422,0.342,106,1.9,30.5,6.7,14.4,859
Bill Mueller,- - -,772,3091,67,427,335,9,0.106,0.110,0.153,0.305,0.288,0.367,0.44,0.352,112,-15.4,29.9,11.5,14.3,295
Morgan Ensberg,- - -,731,2580,110,340,347,22,0.129,0.169,0.205,0.28,0.263,0.362,0.468,0.36,116,-12.1,39.9,17.6,14.1,556
Michael Brantley,Indians,818,3477,61,407,400,95,0.078,0.106,0.129,0.312,0.292,0.348,0.421,0.336,112,14,61.6,-45.9,14,4106
Salvador Perez,Royals,684,2694,87,272,343,2,0.036,0.147,0.16,0.291,0.272,0.302,0.432,0.316,97,-22.8,-31.4,74.3,14,7304
Stephen Drew,- - -,1222,4811,122,556,507,41,0.089,0.188,0.172,0.29,0.252,0.318,0.424,0.322,92,1.5,-42.2,22.9,14,4251
Julio Lugo,- - -,1352,5338,80,688,475,198,0.082,0.164,0.115,0.312,0.269,0.333,0.384,0.317,88,14.6,-64.8,27,13.9,565
A.J. Pollock,Diamondbacks,412,1581,39,233,150,70,0.075,0.149,0.169,0.325,0.293,0.346,0.461,0.35,118,9.7,41.6,38.8,13.8,9256
Will Venable,- - -,967,3146,81,378,307,135,0.081,0.238,0.155,0.31,0.249,0.315,0.404,0.314,101,29.6,32.4,1.9,13.8,211
Geovany Soto,- - -,784,2828,105,303,352,3,0.109,0.234,0.189,0.292,0.246,0.331,0.435,0.335,103,-21.6,-12.2,55.3,13.8,3707
Jose Cruz,- - -,1073,4179,153,536,469,81,0.119,0.201,0.198,0.279,0.247,0.336,0.445,0.337,101,9.8,16.3,-17.8,13.7,1296
Ryan Ludwick,- - -,1065,3986,154,454,587,17,0.085,0.223,0.191,0.303,0.26,0.33,0.451,0.34,110,-2.2,49.4,-38.8,13.7,1260
Anthony Rendon,Nationals,487,2079,53,285,228,31,0.091,0.173,0.159,0.311,0.274,0.345,0.433,0.339,113,6.9,37.4,26.2,13.5,12861
Melky Cabrera,- - -,1520,6186,114,746,683,97,0.071,0.119,0.131,0.309,0.286,0.337,0.417,0.328,103,-4.5,12.6,-88,13.4,4022
Steve Finley,- - -,1045,4059,151,538,518,78,0.092,0.131,0.195,0.274,0.267,0.337,0.462,0.342,101,13.3,20.1,-18.5,13.2,54
Jerry Hairston,- - -,1386,4767,66,552,403,138,0.076,0.115,0.11,0.279,0.257,0.325,0.366,0.308,87,10.7,-68.2,42.5,13.2,144
Justin Turner,- - -,704,2309,58,264,282,23,0.076,0.155,0.157,0.314,0.282,0.348,0.439,0.343,119,-2.9,49.3,3.9,13.2,5235
Seth Smith,- - -,1138,3711,113,475,426,20,0.106,0.193,0.186,0.3,0.261,0.344,0.447,0.343,112,-0.4,52.1,-45.4,13.2,7331
Adam Eaton,- - -,521,2313,34,324,177,54,0.084,0.168,0.13,0.335,0.284,0.357,0.414,0.339,114,14.7,53.3,-3.2,13.1,11205
Kevin Kiermaier,Rays,365,1313,32,152,112,44,0.066,0.183,0.167,0.297,0.258,0.313,0.425,0.32,105,12.4,19.1,61.3,13.1,11038
Gary Matthews Jr.,- - -,1258,4572,108,608,477,93,0.097,0.184,0.149,0.299,0.258,0.331,0.407,0.323,93,15,-26.6,4.2,13.1,153
Joe Crede,- - -,888,3377,140,392,470,4,0.059,0.136,0.19,0.255,0.254,0.304,0.444,0.322,90,-4.6,-45.4,61.7,13,227
Phil Nevin,- - -,836,3414,157,445,564,15,0.097,0.212,0.206,0.318,0.28,0.352,0.486,0.358,119,-5.8,82.2,-59.7,13,1049
Mike Lieberthal,- - -,757,2949,83,324,360,3,0.072,0.110,0.161,0.289,0.278,0.344,0.438,0.339,102,-17,-10.5,46.1,13,959
Jamey Carroll,- - -,1276,4225,13,560,265,74,0.097,0.138,0.066,0.318,0.272,0.349,0.338,0.311,87,14.1,-53.4,43.3,13,1591
David Freese,- - -,862,3228,81,364,403,8,0.082,0.230,0.142,0.343,0.275,0.345,0.417,0.336,113,-24.8,26,-4.2,13,9549
Hideki Matsui,- - -,1236,5066,175,656,760,13,0.108,0.136,0.18,0.297,0.282,0.36,0.462,0.357,119,-1.7,118.6,-159.7,12.9,1659
Cody Ross,- - -,1073,3806,132,449,508,33,0.074,0.210,0.183,0.303,0.262,0.322,0.445,0.333,103,7.1,23.1,-17.1,12.9,1760
Corey Hart,- - -,1048,4114,162,549,538,85,0.070,0.207,0.207,0.308,0.271,0.329,0.478,0.348,113,-0.2,64.5,-69.4,12.8,1945
Christian Yelich,Marlins,487,2117,41,269,212,56,0.104,0.209,0.137,0.363,0.293,0.368,0.43,0.35,123,11.8,68.5,-13.5,12.7,11477
Jarrod Dyson,Royals,550,1539,7,211,101,176,0.082,0.168,0.093,0.314,0.26,0.325,0.353,0.3,86,33.6,9,59.4,12.6,4866
Roberto Alomar,- - -,657,2817,59,391,305,97,0.097,0.122,0.143,0.316,0.291,0.362,0.435,0.348,108,7,37.1,-2.7,12.6,860
Jon Jay,- - -,847,3042,31,374,253,45,0.067,0.163,0.097,0.34,0.287,0.352,0.384,0.326,106,1.9,24.6,0.8,12.6,5227
Jack Wilson,- - -,1370,5339,61,565,426,43,0.051,0.116,0.101,0.29,0.265,0.306,0.366,0.294,75,9,-161.4,111.6,12.4,1017
Starlin Castro,- - -,1042,4374,83,454,433,79,0.048,0.161,0.129,0.319,0.28,0.318,0.408,0.316,96,-16.6,-39.1,20.3,12.4,4579
Brad Wilkerson,- - -,972,3753,122,500,399,53,0.131,0.252,0.193,0.311,0.247,0.35,0.44,0.343,105,5,27.4,-27.4,12.3,804
Craig Biggio,Astros,1151,5068,139,724,469,68,0.074,0.154,0.163,0.293,0.266,0.338,0.428,0.335,98,13.7,-0.1,-41.8,12.3,549
Russell Branyan,- - -,1047,3352,193,401,461,16,0.119,0.327,0.254,0.295,0.233,0.329,0.488,0.349,112,1.5,52.1,-41.9,12.2,370
Kole Calhoun,Angels,522,2142,69,290,249,14,0.081,0.202,0.17,0.308,0.266,0.328,0.436,0.333,114,7.2,41.5,2.8,12.2,11200
David Bell,- - -,945,3785,88,413,422,9,0.085,0.121,0.14,0.272,0.257,0.325,0.396,0.316,88,-8.8,-66.6,63.2,12.2,1108
Yasiel Puig,Dodgers,435,1751,57,233,194,30,0.087,0.206,0.184,0.34,0.287,0.361,0.472,0.362,135,0.4,69.1,-10.8,12,14225
Alex Avila,- - -,740,2654,73,265,293,7,0.137,0.275,0.155,0.319,0.24,0.346,0.395,0.33,105,-21.9,-4.6,30.3,11.9,7476
Joe Randa,- - -,958,3859,84,449,493,12,0.069,0.119,0.144,0.3,0.281,0.335,0.425,0.33,93,-3.2,-38,27.3,11.9,623
Matt Joyce,- - -,958,3110,106,371,376,30,0.125,0.214,0.187,0.281,0.242,0.341,0.429,0.336,114,6.9,58.7,-47.9,11.9,3353
Jay Payton,- - -,1231,4458,119,558,521,46,0.057,0.111,0.147,0.291,0.278,0.323,0.426,0.325,92,-6.1,-48.7,19.1,11.8,890
Rajai Davis,- - -,1201,3999,55,544,353,365,0.057,0.177,0.12,0.315,0.267,0.314,0.387,0.309,90,58.9,11.1,-29.4,11.8,3708
Andres Torres,- - -,650,2157,32,277,174,77,0.095,0.221,0.14,0.305,0.242,0.317,0.382,0.309,94,15.5,1,45,11.8,1488
Nyjer Morgan,- - -,598,2206,12,288,136,120,0.066,0.160,0.084,0.336,0.282,0.343,0.366,0.317,93,13.6,-4.6,50.1,11.7,4885
Desmond Jennings,Rays,567,2351,55,311,191,95,0.093,0.205,0.148,0.292,0.245,0.322,0.393,0.317,103,21.2,28.6,3.2,11.7,1965
Jed Lowrie,- - -,799,3167,67,357,341,7,0.091,0.163,0.142,0.29,0.258,0.326,0.4,0.318,99,-6.9,-11.3,17.3,11.7,4418
Tim Salmon,Angels,717,2900,103,378,356,19,0.135,0.186,0.193,0.304,0.269,0.374,0.462,0.364,121,-0.7,76.1,-57.9,11.5,32
Cristian Guzman,- - -,1275,5329,61,680,441,116,0.046,0.130,0.117,0.308,0.275,0.311,0.392,0.306,81,14.7,-111.5,48.8,11.5,728
Adam LaRoche,- - -,1605,6329,255,752,882,13,0.103,0.222,0.202,0.3,0.26,0.336,0.462,0.343,110,-30.5,46.9,-135.2,11.4,1904
Frank Catalanotto,- - -,1063,3714,67,496,394,39,0.081,0.107,0.151,0.314,0.293,0.361,0.444,0.352,110,1.3,46.3,-56.6,11.4,1241
Drew Stubbs,- - -,901,3143,92,444,283,161,0.087,0.306,0.15,0.335,0.244,0.314,0.394,0.313,90,40.3,3.7,6.3,11.4,9328
Danny Espinosa,Nationals,779,2972,92,337,285,60,0.074,0.281,0.162,0.292,0.226,0.302,0.388,0.301,86,15.3,-32.4,48,11.3,9219
Eric Byrnes,- - -,963,3531,109,482,396,129,0.071,0.152,0.181,0.279,0.258,0.32,0.439,0.328,94,26.2,-0.8,-1.9,11.2,905
Luke Scott,- - -,889,3193,135,370,436,17,0.105,0.207,0.223,0.29,0.258,0.34,0.481,0.352,115,-3.2,56.4,-51.4,11.2,3469
Alcides Escobar,- - -,1135,4542,31,480,354,162,0.041,0.132,0.083,0.297,0.262,0.297,0.345,0.282,73,31.8,-111.5,68,11.1,6310
Charles Johnson,- - -,575,2085,88,241,315,5,0.109,0.233,0.21,0.294,0.253,0.337,0.463,0.343,101,-5.6,-1.5,46.8,11.1,523
Eric Hinske,- - -,1387,4310,137,549,522,61,0.105,0.220,0.181,0.295,0.249,0.332,0.43,0.331,99,11.8,7.9,-41.7,11,1305
Cameron Maybin,- - -,796,3014,46,403,252,131,0.079,0.213,0.114,0.322,0.259,0.322,0.373,0.307,93,27.5,2.4,8.1,11,5223
Bernie Williams,Yankees,980,4128,136,612,576,41,0.115,0.129,0.177,0.305,0.288,0.372,0.466,0.361,120,-8.8,96.4,-124.9,10.9,857
Damian Miller,- - -,821,2984,71,304,332,4,0.091,0.214,0.146,0.315,0.259,0.331,0.406,0.32,88,-15.6,-61.9,74.5,10.9,65
Gregg Zaun,- - -,925,3146,75,347,356,14,0.120,0.138,0.143,0.278,0.256,0.349,0.399,0.331,96,-16.3,-31.8,35.5,10.8,580
Jacque Jones,- - -,1207,4646,156,578,586,79,0.064,0.191,0.172,0.314,0.276,0.326,0.448,0.332,97,-10.1,-27.4,-21.4,10.8,735
Corey Patterson,- - -,1230,4499,118,571,431,218,0.046,0.207,0.148,0.296,0.252,0.29,0.4,0.298,77,42.4,-88.9,50.3,10.8,300
Francisco Lindor,Indians,257,1122,27,149,129,31,0.075,0.140,0.148,0.333,0.306,0.356,0.454,0.347,117,0.4,22.6,42.6,10.7,12916
Peter Bourjos,- - -,713,2038,37,248,149,61,0.058,0.235,0.139,0.308,0.243,0.3,0.382,0.299,88,13,-16,51,10.6,2578
Jermaine Dye,- - -,1372,5722,274,806,871,39,0.088,0.179,0.223,0.293,0.275,0.344,0.498,0.359,114,-23.1,82.8,-169.9,10.6,911
Gregor Blanco,- - -,902,2890,21,332,210,101,0.111,0.188,0.091,0.32,0.258,0.344,0.35,0.31,96,13.9,-0.6,9.1,10.5,3123
Ellis Burks,- - -,450,1808,91,282,290,15,0.106,0.164,0.238,0.314,0.299,0.376,0.536,0.388,137,1.4,88.1,-41.6,10.4,372
Sean Casey,- - -,1152,4612,98,542,583,17,0.081,0.096,0.137,0.316,0.3,0.362,0.437,0.347,106,-19.1,16.5,-63.8,10.3,314
Jose Abreu,White Sox,458,1985,91,235,308,3,0.069,0.199,0.215,0.338,0.299,0.36,0.515,0.372,139,-9.7,77.3,-46.5,10.3,15676
Lyle Overbay,- - -,1587,5801,151,645,675,19,0.110,0.191,0.163,0.31,0.266,0.347,0.429,0.338,105,-23.4,15.2,-103.8,10.3,1617
Wilson Ramos,- - -,585,2304,83,224,321,0,0.061,0.168,0.161,0.291,0.269,0.313,0.43,0.32,100,-22.1,-22.4,49.1,10.3,1433
Nick Hundley,- - -,746,2692,72,253,305,13,0.068,0.233,0.155,0.303,0.25,0.303,0.404,0.307,90,-10.3,-41.9,56,10.3,3376
John Buck,- - -,1090,4009,134,389,491,6,0.077,0.239,0.164,0.279,0.234,0.301,0.398,0.305,85,-12.1,-87.1,55.2,10.3,2041
Alejandro De Aza,- - -,810,2808,51,359,249,90,0.079,0.216,0.136,0.324,0.261,0.328,0.398,0.319,98,10.2,2.7,1.9,10.3,3371
Jeromy Burnitz,- - -,1016,4012,192,536,575,32,0.102,0.206,0.219,0.266,0.246,0.33,0.464,0.339,101,2,5.5,-33.1,10.3,867
Doug Mientkiewicz,- - -,961,3436,64,387,371,12,0.114,0.122,0.138,0.301,0.277,0.364,0.414,0.342,106,-13.1,11.8,-24.7,10.3,741
Dave Roberts,- - -,791,2936,21,411,201,232,0.101,0.118,0.101,0.301,0.268,0.346,0.369,0.319,94,32.1,10.3,-3.4,10.2,670
Jeff Cirillo,- - -,828,2918,46,356,355,31,0.080,0.110,0.12,0.305,0.284,0.346,0.404,0.329,88,0.5,-44.2,50.4,10.2,1073
Mark Reynolds,- - -,1376,5253,251,673,714,60,0.113,0.310,0.218,0.301,0.234,0.326,0.452,0.338,104,-3.9,25.2,-93.5,10.2,7619
George Springer,Astros,342,1540,65,220,174,30,0.115,0.260,0.201,0.321,0.258,0.356,0.46,0.355,128,6.4,57.2,-11.5,10.2,12856
Robin Ventura,- - -,664,2290,91,260,321,8,0.145,0.179,0.185,0.258,0.24,0.351,0.425,0.337,104,-5.6,4.9,21.5,10.1,854
Nate McLouth,- - -,1045,3737,101,521,333,133,0.098,0.171,0.163,0.277,0.247,0.332,0.41,0.326,99,40,34.8,-54.8,10.1,3190
Carlos Quentin,- - -,834,3247,154,416,491,16,0.092,0.159,0.232,0.255,0.252,0.347,0.484,0.361,121,-5.2,77.2,-84.6,10.1,6274
Mark DeRosa,- - -,1229,4083,100,536,494,23,0.088,0.172,0.144,0.306,0.269,0.34,0.412,0.331,97,-9.6,-26.1,-6,10.1,1392
Maicer Izturis,- - -,909,3350,39,406,334,93,0.080,0.106,0.103,0.292,0.269,0.331,0.372,0.312,91,9.7,-26.9,14.2,9.9,2437
Zack Cozart,Reds,621,2521,58,295,217,18,0.053,0.164,0.139,0.274,0.246,0.289,0.385,0.293,80,5.1,-52.1,69,9.9,2616
Mike Moustakas,Royals,688,2720,81,267,294,11,0.066,0.155,0.157,0.266,0.247,0.303,0.404,0.309,92,-10,-33.3,37.7,9.9,4892
David Murphy,- - -,1110,3847,104,440,472,54,0.082,0.149,0.158,0.299,0.274,0.333,0.432,0.333,102,-3.5,6.9,-38.8,9.8,6035
Felipe Lopez,- - -,1185,4864,90,600,439,124,0.091,0.188,0.127,0.314,0.264,0.333,0.391,0.32,91,7.9,-46.8,-13.4,9.8,1311
Tony Graffanino,- - -,711,2429,43,350,239,43,0.087,0.139,0.125,0.304,0.272,0.342,0.397,0.326,93,9.5,-12.9,29.6,9.8,235
Xander Bogaerts,Red Sox,475,2017,41,266,221,26,0.066,0.186,0.126,0.337,0.286,0.337,0.411,0.328,103,10.9,18.8,7.5,9.7,12161
Brett Lawrie,- - -,588,2417,71,266,253,41,0.063,0.201,0.158,0.303,0.261,0.315,0.419,0.32,100,10.4,11.3,0.2,9.7,5247
Welington Castillo,- - -,509,1904,60,171,230,4,0.071,0.249,0.162,0.315,0.255,0.318,0.416,0.32,98,-13.1,-17.6,49.9,9.7,3256
J.D. Martinez,- - -,653,2629,107,306,372,12,0.074,0.250,0.202,0.343,0.281,0.336,0.483,0.352,122,-14.4,52.6,-47.4,9.7,6184
Bengie Molina,- - -,1329,5049,143,449,701,3,0.040,0.092,0.139,0.276,0.274,0.307,0.413,0.31,85,-63.3,-157.3,85.6,9.6,24
Chris Denorfia,- - -,808,2385,41,289,196,56,0.078,0.171,0.12,0.316,0.272,0.33,0.392,0.318,103,-1.3,6.9,10,9.5,4400
Ender Inciarte,- - -,381,1586,13,212,101,56,0.061,0.113,0.093,0.324,0.292,0.337,0.385,0.316,95,7,-2.7,43.8,9.5,4922
Adam Everett,- - -,880,3070,40,334,283,67,0.057,0.148,0.103,0.275,0.242,0.294,0.346,0.282,65,22.5,-113.5,108.5,9.5,1430
Kevin Kouzmanoff,- - -,685,2730,87,273,371,6,0.046,0.183,0.166,0.286,0.257,0.302,0.424,0.315,95,-7.7,-24.7,28.7,9.5,5995
Jason LaRue,- - -,886,3000,93,295,338,10,0.075,0.243,0.165,0.283,0.232,0.316,0.397,0.31,83,-13,-79.9,76.3,9.4,337
Jarrod Saltalamacchia,- - -,880,3157,110,376,381,5,0.096,0.305,0.178,0.312,0.234,0.309,0.413,0.315,92,-1.9,-33.4,18.3,9.4,5557
Marcell Ozuna,Marlins,494,2005,59,225,237,10,0.063,0.222,0.162,0.318,0.265,0.314,0.427,0.322,104,3.4,12,14.4,9.4,10324
Billy Hamilton,Reds,398,1547,13,206,94,184,0.065,0.187,0.086,0.301,0.248,0.297,0.334,0.28,73,36.6,-13.1,53.9,9.4,10199
Reed Johnson,- - -,1320,3992,65,518,408,41,0.045,0.182,0.126,0.332,0.279,0.335,0.405,0.326,96,-0.9,-20.7,-16.2,9.3,1702
Scott Podsednik,- - -,1079,4346,42,563,312,309,0.077,0.145,0.099,0.324,0.281,0.339,0.379,0.319,89,36.8,-21.4,-31.2,9.3,1095
